ID,zQSO,zCNN,Conf,NHIcnn,Flux,SNR,Plate,MJD,Fiber,ra,dec,NHIfit,NHI_best
67449100,3.24400699,3.02888042,1.0,21.018109,1.222,3.158,4028,55621,242,216.3106719,-1.2655109,20.940019,20.940019
66345628,2.63476936,2.40945043,1.0,21.075665,7.682,9.018,4029,55618,632,217.2586575,-1.3862008,21.337105,21.337105
65006584,3.04385133,2.76776928,1.0,20.429478,2.483,6.049,4032,55333,762,215.6005124,-1.4964734,20.525192,20.525192
62610009,3.00008057,2.83693375,1.0,20.347252,1.873,4.849,4035,55383,578,212.3971384,-1.9929566,20.36201,20.36201
65025027,2.6456674,2.45290158,1.0,21.240579,2.221,4.502,4041,55361,580,208.2633472,-1.5184777,21.168534,21.168534
63800494,2.51640383,2.33567966,1.0,20.584202,4.919,6.09,4041,55361,964,210.0737443,-1.8173337,20.31539,20.31539
72145369,2.71868818,2.59819103,1.0,20.35991,1.871,4.389,4043,55630,412,205.1799604,-0.9501948,20.342391,20.342391
67137248,2.66746988,2.33644702,1.0,20.451198,1.982,3.657,4044,55359,912,207.5126873,-1.305112,20.48254,20.48254
64226421,2.49757356,2.37119911,1.0,20.873172,4.759,6.094,4049,55591,560,199.3033918,-1.6881965,21.161863,21.161863
62867839,2.44171439,2.25000662,1.0,20.622104,4.836,3.076,4049,55591,966,201.4955202,-1.9566308,20.560311,20.560311
65559137,2.93543216,2.77384809,1.0,20.497672,7.708,11.125,4051,55337,96,196.6794138,-1.597962,20.605209,20.605209
70054165,2.59068207,2.22689131,1.0,20.284817,1.536,4.034,4197,55479,204,328.2883594,-1.2048222,20.477522,20.477522
68148818,2.98100695,2.77211012,1.0,20.618121,1.16,3.119,4219,55480,405,4.555631,-1.0559201,20.446793,20.446793
68176962,3.20199852,2.71094314,1.0,20.96316,1.794,4.938,4221,55443,126,8.9335438,-1.1690965,21.156671,21.156671
68187030,3.46242557,3.21584175,1.0,20.297982,1.859,5.539,4222,55444,242,10.3382815,-1.2056515,20.308757,20.308757
68203152,3.08696343,2.56848856,1.0,20.488044,1.058,3.041,4224,55481,446,12.7893342,-1.2205808,20.429688,20.429688
68278748,2.49273732,2.40082527,1.0,20.9195,2.656,3.589,4228,55484,298,20.1940573,-1.1861672,20.955118,20.955118
68315632,2.93100948,2.63901977,1.0,20.374698,1.27,4.13,4230,55483,213,23.947067,-1.0890304,20.392366,20.392366
72997053,2.54305148,2.13245052,1.0,20.896978,1.765,3.51,4230,55483,378,23.1840944,-0.9812927,20.904807,20.904807
61269500,2.45119939,2.26050029,1.0,21.187596,3.281,3.225,4341,55538,738,43.6212076,-2.1363887,21.26775,21.26775
65728705,2.83714874,2.59487978,1.0,20.297443,2.213,3.777,4341,55538,870,44.1866782,-1.4711149,20.580693,20.580693
63504472,2.91629167,2.40395939,1.0,20.719659,1.535,3.685,4346,56209,648,32.7499056,-1.812423,20.774832,20.774832
65995831,2.91182095,2.75132081,1.0,20.757524,2.374,4.27,4347,55830,828,31.4915641,-1.4299319,20.745216,20.745216
66377445,3.21190342,2.63064886,1.0,20.834402,1.845,4.681,4348,55559,590,27.0408502,-1.4603101,20.937411,20.937411
64982454,2.36571393,2.16726426,1.0,20.746669,3.719,3.39,4348,55559,838,27.9347959,-1.6440211,20.79745,20.79745
62790193,2.47612461,2.35184813,1.0,21.157256,4.478,5.95,4352,55533,640,20.7696392,-1.7868491,21.283198,21.283198
62175387,3.22647549,2.84312412,1.0,20.285488,3.979,9.606,4355,55533,846,358.6831022,-1.9689381,20.445987,20.445987
66596485,3.25077037,2.69814877,1.0,20.429906,1.2,3.168,4365,55539,634,1.8489935,-1.4441275,20.611065,20.611065
66530293,2.6348804,2.47843807,1.0,20.843849,2.054,3.304,4366,55536,826,4.7071999,-1.3296374,20.747913,20.747913
65224431,2.84747426,2.52845309,1.0,20.293794,2.154,4.257,4370,55534,586,10.8811627,-1.4841613,20.391508,20.391508
66534329,2.78699031,2.62897771,1.0,20.618383,5.548,10.972,4377,55828,634,331.2735444,-1.3594896,20.730654,20.730654
66370723,3.28620419,3.03723752,1.0,21.017433,2.992,7.719,4377,55828,912,332.4773968,-1.4549119,20.932498,20.932498
65912544,2.968195,2.43703774,1.0,20.61528,1.77,4.399,4383,55881,630,319.8501698,-1.406454,20.612043,20.612043
61689613,2.49874146,2.28083453,1.0,20.724813,8.556,9.61,7838,56958,656,31.2481243,-2.0411774,20.868863,20.868863
63824436,2.60974286,2.26350528,1.0,20.600568,4.288,6.347,7841,56960,892,30.1294454,-1.6485446,20.647016,20.647016
64845742,2.48202551,2.18775034,1.0,21.165218,2.402,4.66,7844,56982,660,26.7688934,-1.546222,21.243082,21.243082
63499907,2.55055723,2.19068804,1.0,20.486794,5.124,6.938,7844,56982,987,28.5064884,-1.7798307,20.480842,20.480842
72983764,3.69315103,3.2499547,1.0,20.630259,1.142,3.297,7845,56980,706,24.8861602,-1.0208972,20.564048,20.564048
63763189,2.39104723,2.13822661,1.0,20.640742,3.013,4.691,7871,56902,356,12.4505673,-1.7376257,20.78765,20.78765
67027253,2.86090956,2.70581983,1.0,20.512833,3.142,7.571,7875,56980,621,17.5543613,-1.380588,20.618041,20.618041
64243624,3.34556348,3.20227455,1.0,20.28164,2.461,6.1,9148,58039,163,337.0235859,-1.7826685,20.392252,20.392252
64246206,2.75560604,2.32647591,1.0,20.482394,3.329,6.057,9155,58043,327,350.334995,-1.6922586,20.382859,20.382859
62133743,2.7650707,2.70240821,1.0,20.471591,2.355,4.434,9180,57693,322,323.0801732,-1.992538,20.437192,20.437192
75105084,3.00928966,2.61646528,1.0,21.017809,7.038,14.83,9208,57688,651,357.7411589,-0.8694215,21.216423,21.216423
66162661,3.65801804,3.08492701,1.0,20.555723,0.493,5.66,9236,57685,102,334.0225675,-1.4929355,20.485888,20.485888
87756768,3.50815828,2.93173556,1.0,20.22933,3.648,9.002,3586,55181,466,6.9947264,-0.3232643,20.315404,20.315404
77763652,2.69125738,2.35493647,1.0,20.432382,5.2,10.8,3590,55201,124,12.8446785,-0.7828398,20.335732,20.335732
84432988,3.43609047,3.17526746,1.0,20.510133,2.67,9.789,3590,55201,220,12.5003848,-0.5354576,20.467588,20.467588
87941940,3.28748459,2.69814811,1.0,20.780892,2.122,7.182,3606,55182,272,28.1851728,-0.3721877,20.723993,20.723993
80019911,2.84300631,2.53414448,1.0,20.964862,3.48,8.559,3766,55213,828,139.6203469,-0.6644552,21.048768,21.048768
77307345,3.79145602,3.5152763,1.0,20.474128,1.111,3.699,3778,55213,796,189.2528653,-0.7643598,20.422221,20.422221
84478332,2.5601915,2.33644702,1.0,20.434843,3.732,4.514,3781,55243,910,142.011276,-0.5661141,20.557861,20.557861
89396147,2.75033245,2.26726455,1.0,20.968761,5.578,8.893,3789,55269,944,173.2110583,-0.3946344,20.883964,20.883964
84717435,2.54787487,2.22392006,1.0,20.502362,2.336,4.047,3821,55535,4,140.0445319,-0.4380797,20.43439,20.43439
